,Link,Contents,User,Type,Intent,PIC
0,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,khu vực nào anh ơi,https://www.facebook.com/100030239707446,comment,,
1,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Khu vực và nhu cầu ntn ạ,https://www.facebook.com/100003343358273,comment,,
2,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,"Nha cap 4 gan suoi cat duong oto nha moi xay gia 1ty400 trieu ,can them thong tin gi them thi lh 0961563800",https://www.facebook.com/100024519620517,comment,,
3,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Nha 2ti1 dt 8*13.co gác lửng.SHR.duong nhựa 6m.cach mat tien duog Nguyen hữu trí tt tan tuc.30m.quan tam xin lien he.,https://www.facebook.com/100005685249407,comment,,
4,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Cho Quyền số Đt hoặc liên lạc với Quyền 0913628925,https://www.facebook.com/100033453488768,comment,,
5,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Long hải dc ko ban nha bao đẹp,https://www.facebook.com/100021826896270,comment,,
6,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Nhà Tân Phú 1tỷ 9,https://www.facebook.com/100011559486277,comment,,
7,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,"NHÀ BÁN HẺM TRẦN HƯNG ĐẠO!
+ Kết cấu : Nhà 1 mê nguyên.
+ Diện tích : 48m ngang 6m",https://www.facebook.com/100028911293208,comment,,
8,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,iko e,https://www.facebook.com/100009203547063,comment,,
9,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Nhà cấp 4 mặt tiền cây Sung 5*20 biên nhận bán 2ty kp4trang dài,https://www.facebook.com/100012870437069,comment,,
10,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,5x 40 Gia 1ty850,https://www.facebook.com/100022926020705,comment,,
11,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,3x10..shr. nhà gần hiệp thanh cty. 1ty4..3x8..sô hông riêng. 1 tret lâu. Nguyễn van qua q12..2ty1.....5x5..hẻm chợ thiếc lê van khương shr. Đuong xe hoi 1tret lâu.. Giá 1ty950.....5x6..1tret lâu nhà ko lộ gioi. Mê trô tân th07.q12.giá 2ty250....xem nha ib 0901.755.956,https://www.facebook.com/100034548890807,comment,,
12,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,"mua nhà shophouse ở Thuận An Bình Dương (cách vòng xoay An Phú 1.5km) nè bạn ơi
1 trệt 2 lầu 3 pn
3 khu chợ bao quanh (Phú Phong,Đông Phú A,Đông Đô) tiện ích ngoại khu đầy đủ (Eon Mall,Lotte Mart,trường học, bệnh viện,...)",https://www.facebook.com/1712891888,comment,,
13,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,"Nhà Phước tân đồng Nai 1 trệt 2 lầu giá 1,9 tỷ trường học chợ sát ngay 200m lh 0986518597 mr huynh",https://www.facebook.com/100011475903750,comment,,
14,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,"Sunshine City Sài Gòn có lợi thế đặc biệt khi tọa lạc tại vị trí trung tâm quận 7, liền kề Phú Mỹ Hưng ""một Singapore thu nhỏ"" của Việt Nam Sự đắc địa về vị trí kế sông, cận thủy mang lại cho các căn hộ của Sunshine City Sài Gòn tầm nhìn panorama thoán",https://www.facebook.com/100022437635854,comment,,
15,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Hòa lợi nhé bạn 0971739980,https://www.facebook.com/100036567549399,comment,,
16,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,5x40,https://www.facebook.com/100036567549399,comment,,
17,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,"Nhà hẻm 3m, trần xuân soạn Q7, giá 1ty500.",https://www.facebook.com/100000078174187,comment,,
18,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Căn hộ 1 tỷ 5 :D,https://www.facebook.com/100001639598925,comment,,
19,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,"Cự lộc 25mx 3t gia 2,05 ty-phongf khách , bep, 3phòng ngủ , 3 vs , 1 sân phoi .oto cách 10m- 0988598686",https://www.facebook.com/100034166473988,comment,,
20,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Ty to biên hoà lh 0901329296,https://www.facebook.com/100006932952948,comment,,
21,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Hóc môn đc k ạ,https://www.facebook.com/100004115057660,comment,,
22,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,"4*17 Lê văn lương hẻm xe hơi 2,050t .",https://www.facebook.com/100001566855093,comment,,
23,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,"🔥 Ngân hàng VIB mong được hợp tác cùng quý Anh Chị trong thời gian tới: hỗ trợ khách hàng vay vốn mua nhà đất/căn hộ/đất nền dự án ( có sổ), xe oto
Lãi suất: 8.1% đến 7.7%
Hoa hồng giới thiệu không giới hạn ( vay 15 tỷ hoa hồng là 45 triệu đồng)",https://www.facebook.com/100002888792939,comment,,
24,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Nhà đẹp 2 tấm 4x14 tỉnh lộ 10 tân tạo bình tân 2 tỷ,https://www.facebook.com/100014481930064,comment,,
25,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,"gò vấp 5x4 1 lầu dtcn đủ chốt 1,5ty",https://www.facebook.com/100022182513864,comment,,
26,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,"Q12, 1ty3",https://www.facebook.com/100003567243542,comment,,
27,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Nhà nhỏ q11 1ty6 đây ib để biết thông tin,https://www.facebook.com/100009274732496,comment,,
28,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Nhà lầu trệt thuận an 1ty5,https://www.facebook.com/100010118564303,comment,,
29,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,,https://www.facebook.com/100029507202736,comment,,
30,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,,https://www.facebook.com/100029507202736,comment,,
31,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,,https://www.facebook.com/100029507202736,comment,,
32,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,,https://www.facebook.com/100029507202736,comment,,
33,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,"Nhà quận 4 giá từ 800 đến 2 tỷ, LH 0902 968 572 - Oanh",https://www.facebook.com/100001730857347,comment,,
34,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Anh,https://www.facebook.com/100003035128339,comment,,
35,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Bình thạnh 14.5m2 1 trệt 1 lủng. Giá 2tỷ 2,https://www.facebook.com/100000277181369,comment,,
36,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Có nhà mới sổ riêng bìh cháh Giá 1.6 tĩ còn tlựơg nếu cần lh sđt 0856718693 xac bìh cháh 1 tĩ sổ rieg,https://www.facebook.com/100034584097828,comment,,
37,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,ib mình nhé nhà mới xây . đất mặt tiền,https://www.facebook.com/100007012366284,comment,,
38,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,,https://www.facebook.com/100027658248539,comment,,
39,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Nhà 1lau 1tret dt 87m2 ngay chợ tân long dĩ an giá 1t950 lh 0933248101,https://www.facebook.com/100023174446282,comment,,
40,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,kênh thông tin nhà chính chủ uy tín,https://www.facebook.com/100001106025815,comment,,
41,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,Nha sổ chung đc k a,https://www.facebook.com/100036789528375,comment,,
42,https://www.facebook.com/groups/mogivietnam/permalink/2309758642393179,"Nhà quận 9, Đỗ Xuân Hợp giá 1.710 tỷ",https://www.facebook.com/100000448178146,comment,,
43,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,.,https://www.facebook.com/100001851716218,comment,,
44,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,Có stk thì mang ra công an nha chị,https://www.facebook.com/100000481790683,comment,,
45,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,,https://www.facebook.com/100007403267325,comment,,
46,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,,https://www.facebook.com/100007403267325,comment,,
47,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,Người này hả chị,https://www.facebook.com/100007403267325,comment,,
48,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,Chuẩn r e,https://www.facebook.com/100006011144267,comment,,
49,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,Chơi lớn vậy... không gặp mặt mà dám trao thân...,https://www.facebook.com/100004139863495,comment,,
50,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,,https://www.facebook.com/100003881400158,comment,,
51,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,Cũng bị n nt gạ,https://www.facebook.com/100003881400158,comment,,
52,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,Nó xuất hiện ở mọi nơi rùi anh em!!,https://www.facebook.com/100005319796451,comment,,
53,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,"Diệt nó, đừng để nó đẻ trứng",https://www.facebook.com/100006011144267,comment,,
54,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,"Có bằng chứng thì đưa nó đi đi mọi người, đừng vì thấy 2tr không đáng gì mà bỏ qua, nó sẽ hại thêm biết bao nhiêu người nữa, như thằng bé lừa đảo fb ấy.",https://www.facebook.com/100010365428503,comment,,
55,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,2 tr là đủ đk xử lí hình sự nha bạn,https://www.facebook.com/100003609527650,comment,,
56,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,Cái này mình nghĩ bạn cứ lv vs Ngân hàng BÌDV để họ báo công an xử lý TK kia. Còn hình trên Zalo hay fb nhiều khi bọn lừa đảo dowload hình của ai về tạo nick ảo cũng nên. Có khi người trong hình bị lợi dụng hình ảnh làm bidv bạn ah,https://www.facebook.com/100000799815957,comment,,
57,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,"ha, tay nay hom trc nhan dinh lua minh, minh hoi cho bang chung ban la ng cua ngan hang cai lan luon, con chui minh nua, nay vvan di lua dao ha troi, hon 1 nam roi",https://www.facebook.com/100003049650285,comment,,
58,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,BIDV da duoi viec no may nam roi ma,https://www.facebook.com/100003049650285,comment,,
59,https://www.facebook.com/groups/mogivietnam/permalink/2306562109379499,Mình bị thằng này lừa 1 triệu hôm thứ 3 tuần trước. Gọi lên đường dây nóng BIDV thì nv tổng đài nói ngân hàng ko chịu trách nhiệm. Ra công an phường 14 quận Tân Bình trình báo thì cán bộ trực ban là trung úy Long kêu ngồi viết tường trình. Viết cả buổ,https://www.facebook.com/100034282338218,comment,,
60,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,"Đkm toàn là lừa đảo bán đất ảo, biến mie mày đi alibaba",https://www.facebook.com/100000834553504,comment,,
61,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,quá sướng luôn nè,https://www.facebook.com/100003237134189,comment,,
62,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,hấp dẫn cho nhà đầu tư . Chưa thấy ai mà có cái đầu óc kinh doanh như bác . Vay ngân hàng mua bds có máu làm giàu =) nhan e 1 lay,https://www.facebook.com/100007246232036,comment,,
63,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Sao mấy bác Ali k chỉ luôn làm thế nào mà có thể vay Ngân hàng được 1 tỷ để mua bđs nhỉ,https://www.facebook.com/100004066490352,comment,,
64,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Cái địt mẹ mày Alibaba :))),https://www.facebook.com/100001213615328,comment,,
65,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Đù. Đầu tư ngon ăn như vậy sao đéo ôm mà ăn hết đi nhỉ. Tự dưng bày cho thiên hạ giàu à .. lòng tốt vkl,https://www.facebook.com/100004182222259,comment,,
66,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Vay thẳng 100ty rồi mua luôn .,https://www.facebook.com/1834114134,comment,,
67,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Lãi 180tr hay mất hết luôn...,https://www.facebook.com/100009948819008,comment,,
68,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Xàm lol Alibaba,https://www.facebook.com/1016319829,comment,,
69,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,"Dể ăn nhỉ, về kêu Bà con dòng họ mà đầu tư, đăng lên đây chi vậy",https://www.facebook.com/100004020673924,comment,,
70,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Baba bị xào gừng rồi em,https://www.facebook.com/100029675478869,comment,,
71,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Như vậy thì đất nước này đéo có ai ngheo nỗi đâu hén. Có lời vậy về kêu ba má này ông cố nội họ hàng mày mà đi thuế chấp vay rồi đầu tư cho mày để họ hàng mày giàu lên.,https://www.facebook.com/100008348439416,comment,,
72,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Con mẹ bọn alibaba làm mất mặt mất danh dự của ae môi giới.,https://www.facebook.com/100003237131798,comment,,
73,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Con cụ cái thằng viết bài. Làm ăn tích đức cho con cháu k nhà màu tuyệt tự đấy con ạ. Rồi mày ra đường tai nạn k toàn thây đâu.,https://www.facebook.com/100003237131798,comment,,
74,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Sướng z m tự mua đi,https://www.facebook.com/100009274732496,comment,,
75,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Tào lao :)))),https://www.facebook.com/100009303391383,comment,,
76,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,nè ku,https://www.facebook.com/100000806877675,comment,,
77,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Lol,https://www.facebook.com/100005842500666,comment,,
78,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Không có con ếch lớn như vậy nhảy trên đường phố ， cẩn thận mất tiền,https://www.facebook.com/1482055876,comment,,
79,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Alibaba bạn bán pháp lí ntn,https://www.facebook.com/100001916557600,comment,,
80,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,nghe nó là mất hết nhe quý dị,https://www.facebook.com/100022310266172,comment,,
81,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Lại là alibaba hở???,https://www.facebook.com/100023626564219,comment,,
82,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,"ngon ăn vây tới tụi tao hả, mày về rủ dòng họ; cầm hết nhà cửa quăng yo mua đi",https://www.facebook.com/1393515457,comment,,
83,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,"Bán đất cũng tên Mega. Nhưng là Mega City, Kon Tum. Giá 400tr/150m2. 3 tháng có sổ ( cam kết có sổ ) đảm bảo cuối năm nhận tái đầu tư lời trên 10%. 🤣",https://www.facebook.com/100002936524075,comment,,
84,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,,https://www.facebook.com/100004361706403,comment,,
85,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,thế là bạn bị lừa mất mẹ 1 tỷ :)))),https://www.facebook.com/100003943522584,comment,,
86,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Có cái cc 🙂,https://www.facebook.com/100030234800310,comment,,
87,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Dính vô ali mất mẹ 1 tỷ vay ngân hàng :)) còn mất luôn đất đang thế chấp cho ngân hàng :))) m tính dỡn mặt ngân hàng à ^^,https://www.facebook.com/100030234800310,comment,,
88,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Cầm cái hợp đồng đưua cho ai làm pháp lý thì lòi ra đưa tiền cho người ta xài ... Bán đất ít nhất cũng phải có sổ đỏ,https://www.facebook.com/100000359658338,comment,,
89,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Lấy tiền người trước- trả cho người sau- khi lên nhận lãi 30% mờ mắt lại tái đầu tư tiếp- vì lòng tham tự hại mình chứ ai,https://www.facebook.com/100005655188721,comment,,
90,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Thế chủ thớt về vận động dòng họ nhà chủ thớt cầm nhà đi vay ngân hàng. Sau đó mua đất ở alibaba để kiếm lời.,https://www.facebook.com/100003034700928,comment,,
91,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,,https://www.facebook.com/100000090795811,comment,,
92,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Thế thì thằng sale tự vay đi mà đầu tư.,https://www.facebook.com/100000615932838,comment,,
93,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,"Đất không bán được, dính quy hoạch, sổ sách khong rõ ràng, đóng băng v..v.. mỗi năm nợ thêm 120triệu, nhanh tay kiếm thêm nợ nào",https://www.facebook.com/100014264866385,comment,,
94,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,"đầu tư Alibaba 1 tỷ đi rồi cuối năm nó gửi cho mày chử "" Sướng cái lol chứ Sướng """,https://www.facebook.com/100003791453201,comment,,
95,https://www.facebook.com/groups/mogivietnam/permalink/2308140855888291,Uppp,https://www.facebook.com/1774946329273484,comment,,
